"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Güeñes",NA,NA,NA,NA,NA,"4.66","4.43","4.56","5.5","5.61","6.09","6.14","6.06","5.9","5.59","5.05","4.58","4.68",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Harana/Valle de Arana",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Hernani",NA,NA,NA,NA,NA,"7.09","7.07","6.88","7.57","7.72","7.56","7.57","7.21","6.89","6.74","6.62","6.94","7.07",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Hernialde",NA,NA,NA,NA,NA,"6.67","0","0","0","0","0","0","0","0","2.78","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Hondarribia",NA,NA,NA,NA,NA,"5.12","5.31","5.19","5.82","6.08","6.15","5.95","5.95","5.75","5.63","5.7","5.56","5.49",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ibarra",NA,NA,NA,NA,NA,"3.2","3.92","2.79","3.03","3.27","3.5","3.92","3.71","3.5","3.5","3.05","3.05","2.82",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ibarrangelu",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","1.57","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Idiazabal",NA,NA,NA,NA,NA,"3.83","4.67","2.77","3.22","4.55","5.45","4.86","4.84","4.81","4.37","3.91","3.9","3.9",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Igorre",NA,NA,NA,NA,NA,"9.23","10.14","9.59","9.83","8.99","9.48","9.44","8.69","9.4","7.76","8.02","7.07","7.35",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ikaztegieta",NA,NA,NA,NA,NA,"2.58","2.56","0","0","4.38","4.38","4.3","4.26","4.26","2.13","4.31","2.11","2.05",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Irun",NA,NA,NA,NA,NA,"11.37","12.09","12.09","12.74","13.17","13.45","12.91","12.53","11.37","10.74","10.4","10.32","10.11",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Irura",NA,NA,NA,NA,NA,"4.72","4.56","6.07","4.87","5.21","5.95","5.94","5.63","3.07","3.07","3","4.16","4.03",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Iruraiz-Gauna",NA,NA,NA,NA,NA,"0","2.12","0","2.09","2.06","2.06","2.03","1.91","0","0","1.95","1.96","1.95",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Iruña Oka/Iruña de Oca",NA,NA,NA,NA,NA,"3.41","3.22","2.99","3.58","3.72","4.1","3.12","3.03","2.65","1.66","2.9","2.87","3.1",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ispaster",NA,NA,NA,NA,NA,"1.63","1.62","1.62","1.6","1.55","1.55","1.51","1.48","1.45","1.45","2.81","2.84","4.21",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Itsasondo",NA,NA,NA,NA,NA,"3.58","3.57","5.19","4.99","4.83","3.22","3.08","3.02","2.99","1.49","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Iurreta",NA,NA,NA,NA,NA,"9.03","8.92","8.07","9.55","10.91","10.39","10.42","10.42","9.55","9.03","7.59","8.49","7.76",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Izurtza",NA,NA,NA,NA,NA,"7.58","7.72","7.94","4.03","3.95","7.91","7.75","10.99","7.25","10.87","7.22","7.58","8.13",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Karrantza Harana/Valle de Carranza",NA,NA,NA,NA,NA,"4.14","4.19","3.87","4.24","5.31","5.31","6.05","5.73","5.36","4.29","4.31","4.33","4.38",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Kortezubi",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","2.34","2.34","2.21","2.16","2.18",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Kripan",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
