"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01041","Navaridas","7.55","7.55","10.20","8.00","7.84","7.14","1.82","3.39","3.57","1.59","3.23","1.72","1.69"
"20063","Oiartzun","6.47","7.02","7.98","7.68","8.49","7.02","6.96","6.79","5.62","4.77","4.47","4.96","4.20"
"01042","Okondo","10.54","11.40","9.58","10.14","10.53","9.56","8.72","9.55","6.82","4.05","4.61","4.50","4.63"
"20058","Olaberria","9.62","10.88","12.55","11.81","12.05","8.94","10.61","7.60","4.07","4.68","7.07","6.27","4.71"
"48073","Ondarroa","10.56","10.96","10.97","10.94","12.08","9.56","9.28","8.29","9.32","5.72","6.35","9.06","5.33"
"20076","Ordizia","9.77","9.77","10.65","11.40","11.35","10.51","9.76","8.76","6.79","4.61","5.59","5.55","5.63"
"20905","Orendain","5.77","7.69","4.00","4.00","3.92","0.00","5.77","3.85","5.56","5.45","2.04","4.17","2.22"
"20060","Orexa","0.00","3.03","2.86","5.71","5.56","2.63","8.33","5.88","8.11","0.00","5.88","3.45","8.00"
"20061","Orio","7.46","8.54","8.99","9.44","8.57","7.48","7.53","7.28","6.25","5.29","4.95","4.68","4.11"
"20062","Ormaiztegi","8.27","8.27","8.25","9.18","9.31","6.62","7.78","5.23","4.58","3.45","3.47","3.46","2.77"
"48075","Orozko","3.76","5.22","6.42","6.12","5.48","4.69","6.10","3.80","2.22","3.54","3.39","3.81","3.03"
"48083","Ortuella","13.29","14.65","15.76","15.46","14.67","12.34","10.97","9.87","8.80","6.27","8.16","9.12","7.61"
"48072","Otxandio","7.57","9.46","9.17","10.03","8.45","7.55","7.92","5.36","5.74","4.85","4.99","1.80","1.90"
"01043","Oyón-Oion","20.79","19.47","22.20","19.88","17.29","13.97","11.47","9.61","7.96","5.54","4.33","4.85","4.02"
"20059","Oñati","6.45","6.98","7.59","6.92","7.62","5.52","5.72","6.47","4.67","3.70","4.28","4.12","3.71"
"20064","Pasaia","10.51","11.53","12.83","12.42","12.21","10.71","9.81","8.99","7.15","6.08","5.78","6.36","5.37"
"01044","Peñacerrada-Urizaharra","4.17","2.78","1.43","2.78","1.49","4.17","3.85","7.23","2.44","1.37","1.41","2.63","0.00"
"48077","Plentzia","8.87","9.76","9.45","8.53","7.98","7.41","7.19","7.09","5.65","5.87","5.39","6.09","4.38"
"48078","Portugalete","12.21","12.77","13.65","13.10","12.91","11.21","10.34","10.01","7.79","7.35","7.45","8.46","8.27"
"01047","Ribera Baja/Erribera Beitia","10.75","11.75","11.59","11.56","10.74","9.11","6.33","8.48","5.63","3.01","2.87","3.89","3.09"
"01051","Salvatierra/Agurain","14.29","14.97","15.64","15.53","16.44","15.97","13.11","11.81","8.90","6.61","7.30","8.55","9.01"
