"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01052","Samaniego","75.83","37.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01053","San Millán/Donemiliaga","15.73","6.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48082","Santurtzi","98.12","47.71","1.92","1.93","1.93","1.99","1.99","1.99","0.00","0.00","0.00","0.00"
"20070","Segura","27.52","13.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48084","Sestao","115.83","68.65","7.49","7.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48904","Sondika","112.35","83.09","48.84","53.50","50.57","50.57","53.85","53.37","55.08","55.78","55.78","54.97"
"48085","Sopela","95.59","59.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48086","Sopuerta","35.79","15.20","37.16","37.19","37.84","37.87","37.84","37.89","37.92","41.89","0.00","0.00"
"20065","Soraluze-Placencia de las Armas","55.03","33.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48076","Sukarrieta","31.18","28.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20071","Tolosa","130.24","50.21","1.33","1.33","1.35","1.35","1.34","1.40","1.51","1.53","1.53","0.00"
"48087","Trucios-Turtzioz","16.72","3.34","107.02","107.02","107.02","107.38","107.38","107.74","0.00","0.00","0.00","0.00"
"48088","Ubide","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48065","Ugao-Miraballes","230.49","163.97","83.82","83.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48089","Urduliz","68.19","47.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48074","Urduña/Orduña","33.67","26.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01054","Urkabustaiz","22.51","15.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20072","Urnieta","150.80","127.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20077","Urretxu","91.43","33.06","8.42","8.38","7.59","7.59","7.59","7.59","7.62","7.62","7.80","7.83"
"20073","Usurbil","67.67","32.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01055","Valdegovía/Gaubea","15.04","1.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48080","Valle de Trápaga-Trapagaran","58.52","18.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
